Member Section,Mass (Kg/m),Width (mm),Length (mm),Thick. (mm),Total Bolts,Dia. (mm),Flange Weld (mm),Web Weld (mm),Moment Capacity (Top) (KNm),Moment Capacity (Bottom) (KNm),Shear Capacity (KN),Moment,Shear
200UB,18.2,130,350,16,4,16,8,5,52,52,92,100,50
200UB,22.3,180,390,20,4,20,8,5,65,65,105,100,50
200UB,25.4,180,390,20,4,20,8,6,75,75,122,100,50
200UB,29.8,180,390,20,4,20,10,6,91,91,135,100,50
250UB,25.7,180,430,20,4,20,8,6,92,92,129,100,50
250UB,31.4,180,440,20,4,20,8,6,114,114,159,100,50
250UB,37.3,180,470,25,4,24,10,6,140,140,170,100,50
310UB,32.0,180,480,20,4,20,8,6,134,134,170,100,50
310UB,40.4,180,520,25,4,24,10,6,182,182,192,100,50
310UB,46.2,180,520,25,4,24,10,6,197,197,213,100,50
360UB,44.7,200,570,25,4,24,10,8,222,222,252,100,50
360UB,50.7,200,570,25,4,24,10,8,242,242,269,100,50
360UB,56.7,200,570,25,4,24,12,8,271,271,298,100,50
410UB,53.7,200,620,25,4,24,10,8,305,305,317,100,50
410UB,59.7,200,620,25,6,24,12,8,324,304,328,100,50
460UB,67.1,200,670,25,6,24,12,8,400,343,399,100,50
460UB,74.6,200,670,32,6,24,BW,10,448,366,431,100,50
460UB,82.1,250,700,32,6,30,BW,10,497,497,473,100,50
530UB,82.0,250,740,25,6,24,12,10,556,423,526,100,50
530UB,92.4,250,780,32,6,30,BW,10,640,622,564,100,50
610UB,101.0,250,850,32,6,30,BW,10,783,708,662,100,50
610UB,113.0,250,850,32,6,30,BW,10,829,714,661,100,50
610UB,125.0,270,860,32,6,30,BW,10,927,738,708,100,50
200UB,18.2,130,350,16,4,16,8,5,52,52,92,50,25
200UB,22.3,150,360,16,4,16,8,5,65,65,105,50,25
200UB,25.4,150,360,16,4,16,8,6,65,65,122,50,25
200UB,29.8,150,360,16,4,16,10,6,67,67,135,50,25
250UB,25.7,150,400,16,4,16,8,6,81,81,129,50,25
250UB,31.4,180,410,16,4,16,8,6,85,85,159,50,25
250UB,37.3,180,410,16,4,16,10,6,87,87,170,50,25
310UB,32.0,180,450,16,4,16,8,6,102,102,170,50,25
310UB,40.4,180,460,16,4,16,10,6,105,105,192,50,25
310UB,46.2,180,490,20,4,20,10,6,167,167,213,50,25
360UB,44.7,200,540,16,4,20,10,8,176,176,252,50,25
360UB,50.7,200,540,16,4,20,10,8,178,178,269,50,25
360UB,56.7,200,540,16,4,20,12,8,180,180,298,50,25
410UB,53.7,200,590,16,4,20,10,8,203,203,317,50,25
410UB,59.7,200,590,16,4,20,12,8,205,205,328,50,25
460UB,67.1,200,640,16,4,20,12,8,231,231,370,50,25
460UB,74.6,200,640,20,4,20,BW,10,251,251,370,50,25
460UB,82.1,250,640,20,4,20,BW,10,262,262,370,50,25
530UB,82.0,250,710,20,4,20,12,10,317,317,370,50,25
530UB,92.4,250,750,25,4,24,BW,10,409,409,532,50,25
610UB,101.0,250,820,25,4,24,BW,10,465,465,532,50,25
610UB,113.0,250,820,25,4,24,BW,10,468,468,532,50,25
610UB,125.0,250,830,25,4,24,BW,10,471,471,532,50,25
200US,18.2,130,350,16,4,16,8,5,52,52,92,70,35
200US,22.3,150,360,16,4,16,8,5,65,65,105,70,35
200US,25.4,150,360,16,4,16,8,6,65,65,122,70,35
200US,29.8,180,390,20,4,20,10,6,91,91,135,70,35
250US,25.7,150,400,16,4,16,8,6,81,81,129,70,35
250US,31.4,180,440,20,4,20,10,6,114,114,159,70,35
250US,37.3,180,440,20,4,20,12,6,139,139,170,70,35
310US,32.0,180,480,20,4,20,8,6,134,134,170,70,35
310US,40.4,180,490,20,4,20,10,6,166,166,192,70,35
310US,46.2,180,490,20,4,20,10,6,167,167,213,70,35
360US,44.7,200,540,20,4,20,10,8,198,198,252,70,35
360US,50.7,200,540,20,4,20,10,8,199,199,269,70,35
360US,56.7,200,540,20,4,20,12,8,203,203,298,70,35
410US,53.7,200,590,20,4,20,12,8,230,230,317,70,35
410US,59.7,200,590,20,4,20,12,8,231,231,328,70,35
460US,67.1,200,640,25,4,20,12,8,283,283,370,70,35
460US,74.6,200,670,25,4,24,SW,10,336,336,431,70,35
460US,82.1,250,670,25,4,24,SW,10,350,350,473,70,35
530US,82.0,250,740,25,4,24,12,10,423,423,526,70,35
530US,92.4,250,750,25,6,24,SW,10,544,409,532,70,35
610US,101.0,250,820,25,6,24,SW,10,632,465,532,70,35
610US,113.0,250,820,25,6,24,SW,10,636,468,532,70,35
610US,125.0,250,860,32,6,30,SW,10,927,720,708,70,35
