,Materials and Finishes,Structural Analysis,Structural Analysis,Structural Analysis,Structural Analysis,Structural Analysis,Structural Analysis,Structural Analysis,Structural Analysis,Structural Analysis,Structural Analysis,Structural Analysis
Type,Structural Material,Elastic Modulus strong axis (m3),Elastic Modulus weak axis (m3),Form Factor,Moment of Inertia strong axis,Moment of Inertia weak axis,Plastic Modulus strong axis (m3),Plastic Modulus weak axis (m3),Section Area (m2),Shear Area strong axis (m2),Shear Area weak axis (m2),Tensile Strength (m3)
310UB40,Metal-Steel-320MPa,0.000,0.001,0.952,0.001,0.010,0.000,0.001,0.005,0.005,0.005,440000000.000
100x6 SHS,Metal-Steel-350MPa,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,430000000.000
150x6 SHS,Metal-Steel-350MPa,0.000,0.000,1.000,0.001,0.001,0.000,0.000,0.003,0.003,0.003,430000000.000
380PFC,Metal-Steel-300MPa,0.001,0.000,1.000,0.018,0.001,0.001,0.000,0.007,0.007,0.007,440000000.000
530UB92,Metal-Steel-300MPa,0.000,0.002,0.928,0.003,0.064,0.000,0.002,0.012,0.012,0.012,440000000.000
460UB67,Metal-Steel-300MPa,0.000,0.002,0.928,0.003,0.064,0.000,0.002,0.012,0.012,0.012,440000000.000
410UB60,Metal-Steel-300MPa,0.000,0.001,0.938,0.001,0.025,0.000,0.001,0.008,0.008,0.008,440000000.000
410UB54,Metal-Steel-300MPa,0.000,0.001,0.913,0.001,0.022,0.000,0.001,0.007,0.007,0.007,440000000.000
360UB57,Metal-Steel-300MPa,0.000,0.001,0.996,0.001,0.019,0.000,0.001,0.007,0.007,0.007,440000000.000
360UB51,Metal-Steel-300MPa,0.000,0.001,0.963,0.001,0.016,0.000,0.001,0.006,0.006,0.006,440000000.000
250UB26,Metal-Steel-320MPa,0.000,0.000,0.949,0.000,0.004,0.000,0.000,0.003,0.003,0.003,440000000.000
380PFC,Metal-Steel-300MPa,0.001,0.000,1.000,0.018,0.001,0.001,0.000,0.007,0.007,0.007,440000000.000
310UB40,Metal-Steel-320MPa,0.000,0.001,0.952,0.001,0.010,0.000,0.001,0.005,0.005,0.005,440000000.000
250PFC,Metal-Steel-300MPa,0.000,0.000,1.000,0.005,0.000,0.000,0.000,0.005,0.005,0.005,440000000.000
200x5 SHS,Metal-Steel-350MPa,0.000,0.000,0.925,0.002,0.001,0.000,0.000,0.003,0.003,0.003,430000000.000
230PFC,Metal-Steel-300MPa,0.000,0.000,1.000,0.003,0.000,0.000,0.000,0.003,0.003,0.003,440000000.000
125x6 SHS,Metal-Steel-350MPa,0.000,0.000,1.000,0.001,0.001,0.000,0.000,0.003,0.003,0.003,430000000.000
310UC97,Metal-Steel-320MPa,0.002,0.001,1.000,0.026,0.008,0.001,0.000,0.012,0.012,0.012,440000000.000
